205	227	225
232	234	216
228	208	215
224	230	205
238	236	216
229	222	214
218	229	219
234	210	225
246	221	218
223	198	232
218	209	220
224	233	203
219	236	218
226	220	204
209	229	220
234	221	222
234	215	232
222	216	237
244	254	186
223	214	243
226	222	219
209	205	224
236	219	216
221	205	246
220	255	203
229	255	212
230	238	219
242	209	224
209	196	242
217	231	189
216	210	213
226	196	237
211	204	216
223	238	186
227	232	203
232	230	213
231	239	199
244	204	222
200	243	216
207	224	224
217	228	222
225	211	229
204	230	203
240	220	216
241	203	247
206	219	218
217	219	226
202	243	195
189	205	240
243	229	210
225	236	199
216	225	222
217	210	235
230	210	235
191	238	226
226	232	214
237	211	235
222	211	236
228	239	211
232	239	193
215	231	214
165	211	229
229	230	207
227	215	201
228	236	204
200	216	234
238	218	237
200	187	244
234	218	212
218	191	253
222	225	210
230	217	211
211	211	245
219	233	207
229	213	229
221	207	242
222	193	239
183	216	231
203	224	209
226	212	232
191	240	203
220	190	238
209	205	231
229	203	228
231	214	216
218	229	213
205	217	207
240	203	248
220	196	227
222	235	196
244	218	229
215	215	223
199	233	231
217	217	221
205	220	197
214	223	206
222	246	188
231	216	219
219	238	206
229	234	206
203	199	221
239	224	233
227	208	238
212	224	233
238	231	206
238	239	196
228	228	205
229	250	199
223	210	231
224	254	191
203	204	231
227	252	194
238	218	211
228	270	174
224	246	208
234	244	201
240	237	212
204	229	217
239	242	204
220	230	212
194	222	229
226	230	207
